content,sentiment
"At the point today where if someone says something remotely kind to me, a waterfall will burst out of my eyes",anger
@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30  #relentless,anger
This game has pissed me off more than any other game this year. My blood is boiling! Time to turn it off! #STLCards,anger
@spamvicious I've just found out it's Candice and not Candace. She can pout all she likes for me ðŸ˜,anger
@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I ðŸ™ˆ  #soreloser,anger
@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I ðŸ™ˆ #bitter #soreloser,anger
wanna go home and focus up on this game . Don't wanna rage at all,anger
@virginmedia I've been disconnected whilst on holiday ðŸ˜¤ but I don't move house until the 1st October ðŸ¤” #furious,anger
@virginmedia I've been disconnected whilst on holiday ðŸ˜¤ but I don't move house until the 1st October ðŸ¤” ,anger
I wanna see you smile I don't wanna see you make a frown,anger
@shae_caitlin ur road rage gives me anxiety.,anger
@eMilsOnWheels I'm furious ðŸ˜©ðŸ˜©ðŸ˜©,anger
@EtherealMystic_ She was winning this war that had been raging on inside of his mind. The desire and love all rolling into something he -,anger
They gonna give this KKk police bitch the minimum sentence..just wattch #angry,anger
They gonna give this KKk police bitch the minimum sentence..just wattch ,anger
I just got murdered in madden. ðŸ¤•,anger
My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!ðŸ˜¢ðŸ’žðŸ˜©,anger
@CUTEFUNNYANIMAL @luvcaps19 My sister's dog does this. I think it's because she knows it'll provoke a reaction,anger
new madden 16 video was gonna be up but xbox is being an ahole and not going through ðŸ™„ðŸ™„ #struggles,anger
"The animosity toward Hillary comes from conspiracy theories and perception, the animosity toward Trump is based on what he says and does.",anger
Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad #angry,anger
Yay bmth canceled Melbourne show fanfuckingtastic just lost a days pay and hotel fees not happy atm #sad ,anger
I watch Amyah throw temper tantrums when she gets mad at something and I'm just like damnit that is me and I can't do nothing but laugh ðŸ˜…,anger
@crystaldiamondo impossible to say. We can only hope that I donâ€™t unwittingly trigger her ferocious side again. Hell hath no fury..,anger
@SportingTommo @ASFCofficial no doubt we are going to struggle this year. But moments like that from Payet take the sting out of it.,anger
Autocorrect changes ''em' to 'me' which I resent greatly,anger
Candice on great british bake off with that pout does my head in ðŸ‘ŠðŸ»ðŸ™„,anger
Point scorning and fury at Labor does nothing to address long term detention and the need to resettle #asylumseekers from #manus and #Nauru,anger
HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle,anger
HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry  #bbmichelle,anger
Fast and furious 6 this Monday 10 pm on mbc 2 ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜ðŸ˜,anger
"Not sorry for that burst of anti #Allo spam, fuck any messaging app launching in 2016, without encryption on by default.",anger
So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed #bitter,anger
So I'm not being shady but one of Jongdae's ex rumoured girlfriends is going on WGM I'm not saying I'm over joyed but I'm over joyed ,anger
At work yesterday some old cunt couple told me their coffees were cold and wanted a refund so i put my finger in it front of them angrily,anger
When you want to say something so bad but can't ! #furious ðŸ˜¤,anger
â€œCompetition is suppose to motivate you to do better everytime not to be bitter all the timeâ€ -De philosopher DJ Kyos \n#quote #success #CSGO,anger
@TheRevAl please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!,anger
@XboxMAD @RobotBrush Ballmer will be furious. Another delivery lost...,anger
Stop tracking back you fucking potato faced cunt errrr infuriating ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜  #angry #Rooney #mufc,anger
Stop tracking back you fucking potato faced cunt errrr infuriating ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜ ðŸ˜   #Rooney #mufc,anger
@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy? #revenge #leictershireaway #therey,anger
@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy?  #leictershireaway #therey,anger
@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking.#Hillary #divide #anger #chaos,anger
Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! ,anger
Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! #raging,anger
Yal aggravate tf outta me acting lying yal can't tell the difference between a dyke and a man. RARELY is it that hard to tell the difference,anger
If i could just get my line to block!  #germantownbroncos #lilleague #popwarner #Broncos #usafootball #offense #lineman,anger
Star trek online has a update to download oh fuming yay,anger
@NewAgeInsiders @ChaoticWrestlin @davienne_long make sure you tell them how scared you are #revenge ðŸ™ŒðŸ¼ðŸ™ŒðŸ¼,anger
"@SpookyHelder ...specifically are the cause of it all, and they resent being considered the enemy.",anger
The war is right outside your door #rage #USAToday,anger
The war is right outside your door  #USAToday,anger
"A guy was raging so hard during a rocket league game, when i beat him he started crying and i was laughing so hard lol",anger
@donlemon listening to these politicians is making me so #angry I'm so fucking tired of political speak by career politicians @PatMcCroryNC,anger
Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat #snap #country #countrygirl,anger
